Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.38850190570963, 47.4428662623683], ""type"": ""Point""}";Tour 201;2016-03-08;47.4428662623683, 9.38850190570963
"{""coordinates"": [9.38718091769104, 47.4419489468306], ""type"": ""Point""}";Tour 201;2016-03-08;47.4419489468306, 9.38718091769104
"{""coordinates"": [9.38682686607999, 47.4408452177551], ""type"": ""Point""}";Tour 201;2016-03-08;47.4408452177551, 9.38682686607999
"{""coordinates"": [9.38645806231844, 47.4403530323716], ""type"": ""Point""}";Tour 201;2016-03-08;47.4403530323716, 9.38645806231844
"{""coordinates"": [9.38597660577159, 47.4410249257699], ""type"": ""Point""}";Tour 201;2016-03-08;47.4410249257699, 9.38597660577159
"{""coordinates"": [9.3842613330043, 47.4407875502579], ""type"": ""Point""}";Tour 201;2016-03-08;47.4407875502579, 9.3842613330043
"{""coordinates"": [9.38203375828468, 47.4380007349253], ""type"": ""Point""}";Tour 201;2016-03-08;47.4380007349253, 9.38203375828468
"{""coordinates"": [9.3837007512868, 47.4384486638575], ""type"": ""Point""}";Tour 201;2016-03-08;47.4384486638575, 9.3837007512868
"{""coordinates"": [9.38361223838402, 47.4376694820922], ""type"": ""Point""}";Tour 201;2016-03-08;47.4376694820922, 9.38361223838402
"{""coordinates"": [9.37388923012551, 47.4280336456319], ""type"": ""Point""}";Tour 202;2016-03-15;47.4280336456319, 9.37388923012551
"{""coordinates"": [9.37422852958611, 47.4281771438228], ""type"": ""Point""}";Tour 202;2016-03-15;47.4281771438228, 9.37422852958611
"{""coordinates"": [9.37390934669432, 47.4277426259364], ""type"": ""Point""}";Tour 202;2016-03-15;47.4277426259364, 9.37390934669432
"{""coordinates"": [9.37724467380312, 47.4318383593463], ""type"": ""Point""}";Tour 202;2016-03-15;47.4318383593463, 9.37724467380312
"{""coordinates"": [9.37355127176949, 47.4312844831517], ""type"": ""Point""}";Tour 202;2016-03-15;47.4312844831517, 9.37355127176949
"{""coordinates"": [9.37257360652526, 47.4325598736143], ""type"": ""Point""}";Tour 202;2016-03-15;47.4325598736143, 9.37257360652526
"{""coordinates"": [9.37232416107202, 47.4329233129575], ""type"": ""Point""}";Tour 202;2016-03-15;47.4329233129575, 9.37232416107202
"{""coordinates"": [9.3742513283641, 47.4327020307006], ""type"": ""Point""}";Tour 202;2016-03-15;47.4327020307006, 9.3742513283641
"{""coordinates"": [9.37414806331086, 47.4331754406199], ""type"": ""Point""}";Tour 202;2016-03-15;47.4331754406199, 9.37414806331086
"{""coordinates"": [9.37418024982097, 47.4332894345098], ""type"": ""Point""}";Tour 202;2016-03-15;47.4332894345098, 9.37418024982097
"{""coordinates"": [9.37518205494774, 47.4345742127045], ""type"": ""Point""}";Tour 202;2016-03-15;47.4345742127045, 9.37518205494774
"{""coordinates"": [9.37593843793502, 47.4354539773139], ""type"": ""Point""}";Tour 202;2016-03-15;47.4354539773139, 9.37593843793502
"{""coordinates"": [9.37345471223918, 47.4373100660628], ""type"": ""Point""}";Tour 202;2016-03-15;47.4373100660628, 9.37345471223918
"{""coordinates"": [9.37238182856927, 47.4369761310205], ""type"": ""Point""}";Tour 202;2016-03-15;47.4369761310205, 9.37238182856927
"{""coordinates"": [9.37249179914545, 47.437120970316], ""type"": ""Point""}";Tour 202;2016-03-15;47.437120970316, 9.37249179914545
"{""coordinates"": [9.37268760041522, 47.4373945556518], ""type"": ""Point""}";Tour 202;2016-03-15;47.4373945556518, 9.37268760041522
"{""coordinates"": [9.37271039919318, 47.4374267421619], ""type"": ""Point""}";Tour 202;2016-03-15;47.4374267421619, 9.37271039919318
"{""coordinates"": [9.37296118575102, 47.4376104734904], ""type"": ""Point""}";Tour 202;2016-03-15;47.4376104734904, 9.37296118575102
"{""coordinates"": [9.37310870725565, 47.4377298317987], ""type"": ""Point""}";Tour 202;2016-03-15;47.4377298317987, 9.37310870725565
"{""coordinates"": [9.37218066288116, 47.4366381726645], ""type"": ""Point""}";Tour 202;2016-03-15;47.4366381726645, 9.37218066288116
"{""coordinates"": [9.37226783467935, 47.4355679712038], ""type"": ""Point""}";Tour 202;2016-03-15;47.4355679712038, 9.37226783467935
"{""coordinates"": [9.37203180027197, 47.4359434804883], ""type"": ""Point""}";Tour 202;2016-03-15;47.4359434804883, 9.37203180027197
"{""coordinates"": [9.371709935171, 47.4367736242279], ""type"": ""Point""}";Tour 202;2016-03-15;47.4367736242279, 9.371709935171
"{""coordinates"": [9.37642257669106, 47.435947503802], ""type"": ""Point""}";Tour 202;2016-03-15;47.435947503802, 9.37642257669106
"{""coordinates"": [9.37768053279402, 47.4373382292592], ""type"": ""Point""}";Tour 202;2016-03-15;47.4373382292592, 9.37768053279402
"{""coordinates"": [9.37807347643815, 47.4377043508115], ""type"": ""Point""}";Tour 202;2016-03-15;47.4377043508115, 9.37807347643815
"{""coordinates"": [9.37909137481995, 47.439077641909], ""type"": ""Point""}";Tour 202;2016-03-15;47.439077641909, 9.37909137481995
"{""coordinates"": [9.37964256880537, 47.4392613732375], ""type"": ""Point""}";Tour 202;2016-03-15;47.4392613732375, 9.37964256880537
"{""coordinates"": [9.3787788974511, 47.4399708175642], ""type"": ""Point""}";Tour 202;2016-03-15;47.4399708175642, 9.3787788974511
"{""coordinates"": [9.3784691022914, 47.4397696518761], ""type"": ""Point""}";Tour 202;2016-03-15;47.4397696518761, 9.3784691022914
"{""coordinates"": [9.37782403098487, 47.4391178750466], ""type"": ""Point""}";Tour 202;2016-03-15;47.4391178750466, 9.37782403098487
"{""coordinates"": [9.37664385894797, 47.4382448159602], ""type"": ""Point""}";Tour 202;2016-03-15;47.4382448159602, 9.37664385894797
"{""coordinates"": [9.37694292527098, 47.437712397439], ""type"": ""Point""}";Tour 202;2016-03-15;47.437712397439, 9.37694292527098
"{""coordinates"": [9.37760677204173, 47.4382179938685], ""type"": ""Point""}";Tour 202;2016-03-15;47.4382179938685, 9.37760677204173
"{""coordinates"": [9.37707569462512, 47.4372912905986], ""type"": ""Point""}";Tour 202;2016-03-15;47.4372912905986, 9.37707569462512
"{""coordinates"": [9.37765371070228, 47.4397844040265], ""type"": ""Point""}";Tour 202;2016-03-15;47.4397844040265, 9.37765371070228
"{""coordinates"": [9.3795862424127, 47.4416981602727], ""type"": ""Point""}";Tour 202;2016-03-15;47.4416981602727, 9.3795862424127
"{""coordinates"": [9.38197072636908, 47.4415935541149], ""type"": ""Point""}";Tour 202;2016-03-15;47.4415935541149, 9.38197072636908
"{""coordinates"": [9.38058670643488, 47.4413172865699], ""type"": ""Point""}";Tour 202;2016-03-15;47.4413172865699, 9.38058670643488
"{""coordinates"": [9.38043113830275, 47.4412703479094], ""type"": ""Point""}";Tour 202;2016-03-15;47.4412703479094, 9.38043113830275
"{""coordinates"": [9.38038554074677, 47.4404683673661], ""type"": ""Point""}";Tour 202;2016-03-15;47.4404683673661, 9.38038554074677
"{""coordinates"": [9.3808924782808, 47.4404294753331], ""type"": ""Point""}";Tour 202;2016-03-15;47.4404294753331, 9.3808924782808
"{""coordinates"": [9.37796752917572, 47.4402712249918], ""type"": ""Point""}";Tour 202;2016-03-15;47.4402712249918, 9.37796752917572
"{""coordinates"": [9.37780257331147, 47.4403825366725], ""type"": ""Point""}";Tour 202;2016-03-15;47.4403825366725, 9.37780257331147
"{""coordinates"": [9.37760408983254, 47.44050457719], ""type"": ""Point""}";Tour 202;2016-03-15;47.44050457719, 9.37760408983254
"{""coordinates"": [9.37820624579228, 47.4415788019645], ""type"": ""Point""}";Tour 202;2016-03-15;47.4415788019645, 9.37820624579228
"{""coordinates"": [9.37788572179591, 47.4412582779681], ""type"": ""Point""}";Tour 202;2016-03-15;47.4412582779681, 9.37788572179591
"{""coordinates"": [9.37762420640135, 47.4410209024561], ""type"": ""Point""}";Tour 202;2016-03-15;47.4410209024561, 9.37762420640135
"{""coordinates"": [9.37657278040484, 47.4402444029], ""type"": ""Point""}";Tour 202;2016-03-15;47.4402444029, 9.37657278040484
"{""coordinates"": [9.37586333607814, 47.4395832383384], ""type"": ""Point""}";Tour 202;2016-03-15;47.4395832383384, 9.37586333607814
"{""coordinates"": [9.38089650159458, 47.4421380425774], ""type"": ""Point""}";Tour 202;2016-03-15;47.4421380425774, 9.38089650159458
"{""coordinates"": [9.38149731644972, 47.4426422979022], ""type"": ""Point""}";Tour 202;2016-03-15;47.4426422979022, 9.38149731644972
"{""coordinates"": [9.38184734474703, 47.4427951838252], ""type"": ""Point""}";Tour 202;2016-03-15;47.4427951838252, 9.38184734474703
"{""coordinates"": [9.38447322752913, 47.4453620580055], ""type"": ""Point""}";Tour 202;2016-03-15;47.4453620580055, 9.38447322752913
"{""coordinates"": [9.38796009945631, 47.449998256564], ""type"": ""Point""}";Tour 202;2016-03-15;47.449998256564, 9.38796009945631
"{""coordinates"": [9.38099306112485, 47.44425832893], ""type"": ""Point""}";Tour 202;2016-03-15;47.44425832893, 9.38099306112485
"{""coordinates"": [9.38089918380373, 47.4444407191539], ""type"": ""Point""}";Tour 202;2016-03-15;47.4444407191539, 9.38089918380373
"{""coordinates"": [9.38090991264045, 47.4446190860641], ""type"": ""Point""}";Tour 202;2016-03-15;47.4446190860641, 9.38090991264045
"{""coordinates"": [9.38092064147713, 47.4420924450214], ""type"": ""Point""}";Tour 202;2016-03-15;47.4420924450214, 9.38092064147713
"{""coordinates"": [9.38015889407151, 47.4420978094398], ""type"": ""Point""}";Tour 202;2016-03-15;47.4420978094398, 9.38015889407151
"{""coordinates"": [9.37661167243789, 47.4426382745885], ""type"": ""Point""}";Tour 202;2016-03-15;47.4426382745885, 9.37661167243789
"{""coordinates"": [9.37523301692207, 47.4412180448304], ""type"": ""Point""}";Tour 202;2016-03-15;47.4412180448304, 9.37523301692207
"{""coordinates"": [9.37496077269083, 47.4413977528451], ""type"": ""Point""}";Tour 202;2016-03-15;47.4413977528451, 9.37496077269083
"{""coordinates"": [9.37442835416962, 47.441671338181], ""type"": ""Point""}";Tour 202;2016-03-15;47.441671338181, 9.37442835416962
"{""coordinates"": [9.37536578627621, 47.4409337306579], ""type"": ""Point""}";Tour 202;2016-03-15;47.4409337306579, 9.37536578627621
"{""coordinates"": [9.37507610768535, 47.4396637046137], ""type"": ""Point""}";Tour 202;2016-03-15;47.4396637046137, 9.37507610768535
"{""coordinates"": [9.37576141212949, 47.4385224246098], ""type"": ""Point""}";Tour 202;2016-03-15;47.4385224246098, 9.37576141212949
"{""coordinates"": [9.37605511403413, 47.4385720454795], ""type"": ""Point""}";Tour 202;2016-03-15;47.4385720454795, 9.37605511403413
"{""coordinates"": [9.37702875596457, 47.4363619051195], ""type"": ""Point""}";Tour 202;2016-03-15;47.4363619051195, 9.37702875596457
"{""coordinates"": [9.37737744315729, 47.4358992240369], ""type"": ""Point""}";Tour 202;2016-03-15;47.4358992240369, 9.37737744315729
"{""coordinates"": [9.37734793885636, 47.435203190756], ""type"": ""Point""}";Tour 202;2016-03-15;47.435203190756, 9.37734793885636
"{""coordinates"": [9.37691610317921, 47.4346774777578], ""type"": ""Point""}";Tour 202;2016-03-15;47.4346774777578, 9.37691610317921
"{""coordinates"": [9.37765907512062, 47.4346171280513], ""type"": ""Point""}";Tour 202;2016-03-15;47.4346171280513, 9.37765907512062
"{""coordinates"": [9.36646085181599, 47.4229039205852], ""type"": ""Point""}";Tour 203;2016-03-08;47.4229039205852, 9.36646085181599
"{""coordinates"": [9.3706477803378, 47.4251596585011], ""type"": ""Point""}";Tour 203;2016-03-08;47.4251596585011, 9.3706477803378
"{""coordinates"": [9.36845105102367, 47.4235825195064], ""type"": ""Point""}";Tour 203;2016-03-08;47.4235825195064, 9.36845105102367
"{""coordinates"": [9.3689365308843, 47.4248552277598], ""type"": ""Point""}";Tour 203;2016-03-08;47.4248552277598, 9.3689365308843
"{""coordinates"": [9.3682351331851, 47.4251972094296], ""type"": ""Point""}";Tour 203;2016-03-08;47.4251972094296, 9.3682351331851
"{""coordinates"": [9.36795350122173, 47.4251154020498], ""type"": ""Point""}";Tour 203;2016-03-08;47.4251154020498, 9.36795350122173
"{""coordinates"": [9.36781670855385, 47.425088579958], ""type"": ""Point""}";Tour 203;2016-03-08;47.425088579958, 9.36781670855385
"{""coordinates"": [9.36702948016105, 47.4247975602625], ""type"": ""Point""}";Tour 203;2016-03-08;47.4247975602625, 9.36702948016105
"{""coordinates"": [9.3649279692726, 47.4236857845596], ""type"": ""Point""}";Tour 203;2016-03-08;47.4236857845596, 9.3649279692726
"{""coordinates"": [9.36479922323221, 47.4235449685779], ""type"": ""Point""}";Tour 203;2016-03-08;47.4235449685779, 9.36479922323221
"{""coordinates"": [9.36630394257926, 47.4239419355358], ""type"": ""Point""}";Tour 203;2016-03-08;47.4239419355358, 9.36630394257926
"{""coordinates"": [9.36622884072239, 47.4235945894476], ""type"": ""Point""}";Tour 203;2016-03-08;47.4235945894476, 9.36622884072239
"{""coordinates"": [9.36615776217923, 47.4235369219504], ""type"": ""Point""}";Tour 203;2016-03-08;47.4235369219504, 9.36615776217923
"{""coordinates"": [9.37032993855058, 47.4262137667068], ""type"": ""Point""}";Tour 203;2016-03-08;47.4262137667068, 9.37032993855058
"{""coordinates"": [9.37380205832733, 47.4285928862448], ""type"": ""Point""}";Tour 203;2016-03-08;47.4285928862448, 9.37380205832733
"{""coordinates"": [9.37552135440833, 47.4300774890231], ""type"": ""Point""}";Tour 203;2016-03-08;47.4300774890231, 9.37552135440833
"{""coordinates"": [9.36380680583756, 47.4240773870991], ""type"": ""Point""}";Tour 203;2016-03-08;47.4240773870991, 9.36380680583756
"{""coordinates"": [9.36153899798029, 47.4233572139357], ""type"": ""Point""}";Tour 203;2016-03-08;47.4233572139357, 9.36153899798029
"{""coordinates"": [9.35831766476142, 47.4227805389631], ""type"": ""Point""}";Tour 203;2016-03-08;47.4227805389631, 9.35831766476142
"{""coordinates"": [9.35806017268064, 47.423024619998], ""type"": ""Point""}";Tour 203;2016-03-08;47.423024619998, 9.35806017268064
"{""coordinates"": [9.36149071821515, 47.4264846698335], ""type"": ""Point""}";Tour 203;2016-03-08;47.4264846698335, 9.36149071821515
"{""coordinates"": [9.36920072848801, 47.4264337078591], ""type"": ""Point""}";Tour 203;2016-03-08;47.4264337078591, 9.36920072848801
"{""coordinates"": [9.37081273620205, 47.4273523645015], ""type"": ""Point""}";Tour 203;2016-03-08;47.4273523645015, 9.37081273620205
"{""coordinates"": [9.37287401395284, 47.4299447196689], ""type"": ""Point""}";Tour 203;2016-03-08;47.4299447196689, 9.37287401395284
"{""coordinates"": [9.36909746343477, 47.4275964455364], ""type"": ""Point""}";Tour 203;2016-03-08;47.4275964455364, 9.36909746343477
"{""coordinates"": [9.36816271353737, 47.4269419864978], ""type"": ""Point""}";Tour 203;2016-03-08;47.4269419864978, 9.36816271353737
"{""coordinates"": [9.3667880813353, 47.4256947592315], ""type"": ""Point""}";Tour 203;2016-03-08;47.4256947592315, 9.3667880813353
"{""coordinates"": [9.36475094346707, 47.4251207664681], ""type"": ""Point""}";Tour 203;2016-03-08;47.4251207664681, 9.36475094346707
"{""coordinates"": [9.36234097852355, 47.4239781453597], ""type"": ""Point""}";Tour 203;2016-03-08;47.4239781453597, 9.36234097852355
"{""coordinates"": [9.36160337100048, 47.4244609430111], ""type"": ""Point""}";Tour 203;2016-03-08;47.4244609430111, 9.36160337100048
"{""coordinates"": [9.36159666547755, 47.4236026360752], ""type"": ""Point""}";Tour 203;2016-03-08;47.4236026360752, 9.36159666547755
"{""coordinates"": [9.36137135990688, 47.4234484090476], ""type"": ""Point""}";Tour 203;2016-03-08;47.4234484090476, 9.36137135990688
"{""coordinates"": [9.36541210802866, 47.427152539918], ""type"": ""Point""}";Tour 203;2016-03-08;47.427152539918, 9.36541210802866
"{""coordinates"": [9.36502452880291, 47.4269701496941], ""type"": ""Point""}";Tour 203;2016-03-08;47.4269701496941, 9.36502452880291
"{""coordinates"": [9.36495210915518, 47.4269232110335], ""type"": ""Point""}";Tour 203;2016-03-08;47.4269232110335, 9.36495210915518
"{""coordinates"": [9.35924839134503, 47.4236938311871], ""type"": ""Point""}";Tour 203;2016-03-08;47.4236938311871, 9.35924839134503
"{""coordinates"": [9.36434324767251, 47.4276715473933], ""type"": ""Point""}";Tour 203;2016-03-08;47.4276715473933, 9.36434324767251
"{""coordinates"": [9.36413403535687, 47.4283085720723], ""type"": ""Point""}";Tour 203;2016-03-08;47.4283085720723, 9.36413403535687
"{""coordinates"": [9.36026226641312, 47.4259938255545], ""type"": ""Point""}";Tour 203;2016-03-08;47.4259938255545, 9.36026226641312
"{""coordinates"": [9.35924839134503, 47.4255861297599], ""type"": ""Point""}";Tour 203;2016-03-08;47.4255861297599, 9.35924839134503
"{""coordinates"": [9.35836326231737, 47.4253702119213], ""type"": ""Point""}";Tour 203;2016-03-08;47.4253702119213, 9.35836326231737
"{""coordinates"": [9.35903783792483, 47.4256437972572], ""type"": ""Point""}";Tour 203;2016-03-08;47.4256437972572, 9.35903783792483
"{""coordinates"": [9.35886483543305, 47.4260944083985], ""type"": ""Point""}";Tour 203;2016-03-08;47.4260944083985, 9.35886483543305
"{""coordinates"": [9.35810845244578, 47.425816799749], ""type"": ""Point""}";Tour 203;2016-03-08;47.425816799749, 9.35810845244578
"{""coordinates"": [9.34698801320721, 47.4125975318311], ""type"": ""Point""}";Tour 301;2016-03-02;47.4125975318311, 9.34698801320721
"{""coordinates"": [9.35543026658476, 47.4132332154055], ""type"": ""Point""}";Tour 301;2016-03-02;47.4132332154055, 9.35543026658476
"{""coordinates"": [9.35418303931851, 47.4128590472257], ""type"": ""Point""}";Tour 301;2016-03-02;47.4128590472257, 9.35418303931851
"{""coordinates"": [9.35546111199028, 47.4139359542093], ""type"": ""Point""}";Tour 301;2016-03-02;47.4139359542093, 9.35546111199028
"{""coordinates"": [9.35584600900685, 47.4139721640332], ""type"": ""Point""}";Tour 301;2016-03-02;47.4139721640332, 9.35584600900685
"{""coordinates"": [9.35926046128634, 47.4147969433544], ""type"": ""Point""}";Tour 301;2016-03-02;47.4147969433544, 9.35926046128634
"{""coordinates"": [9.35940395947719, 47.4148841151526], ""type"": ""Point""}";Tour 301;2016-03-02;47.4148841151526, 9.35940395947719
"{""coordinates"": [9.36011876822226, 47.4151147851416], ""type"": ""Point""}";Tour 301;2016-03-02;47.4151147851416, 9.36011876822226
"{""coordinates"": [9.36226855887583, 47.4159771153913], ""type"": ""Point""}";Tour 301;2016-03-02;47.4159771153913, 9.36226855887583
