Geo Point;Geo Shape;Standort;anzeigesta
47.435331456537064, 9.389968644892488;"{""coordinates"": [9.389968644892488, 47.435331456537064], ""type"": ""Point""}";Kolumbanstrasse 6;1
47.42194153770283, 9.349238803577235;"{""coordinates"": [9.349238803577235, 47.42194153770283], ""type"": ""Point""}";Lilienstrasse 53;1
47.43413719700869, 9.385612233276227;"{""coordinates"": [9.385612233276227, 47.43413719700869], ""type"": ""Point""}";Rosenheimstrasse 9;1
47.407390812091045, 9.332754190204973;"{""coordinates"": [9.332754190204973, 47.407390812091045], ""type"": ""Point""}";Rickenstrasse 21;1
47.421752746562746, 9.346775935455664;"{""coordinates"": [9.346775935455664, 47.421752746562746], ""type"": ""Point""}";Zwyssigstrasse 15;1
47.44132805830177, 9.411825539329781;"{""coordinates"": [9.411825539329781, 47.44132805830177], ""type"": ""Point""}";Rorschacher Strasse 277;1
47.4263795997038, 9.393066309244592;"{""coordinates"": [9.393066309244592, 47.4263795997038], ""type"": ""Point""}";Meienbergstrasse 6;1
47.41660001227906, 9.380531889341226;"{""coordinates"": [9.380531889341226, 47.41660001227906], ""type"": ""Point""}";Jahnstrasse;1
47.416110555469174, 9.3550427066632;"{""coordinates"": [9.3550427066632, 47.416110555469174], ""type"": ""Point""}";Burgstrasse 91;1
47.437316831831424, 9.406823459467281;"{""coordinates"": [9.406823459467281, 47.437316831831424], ""type"": ""Point""}";Notkerianum Rorschacher Str. 254;1
47.42195206843481, 9.355002623515437;"{""coordinates"": [9.355002623515437, 47.42195206843481], ""type"": ""Point""}";Stahlstrasse 16;1
47.42578432727495, 9.35831009044926;"{""coordinates"": [9.35831009044926, 47.42578432727495], ""type"": ""Point""}";Paul-Brandt-Strasse 51;1
47.43951646716849, 9.40722331611913;"{""coordinates"": [9.40722331611913, 47.43951646716849], ""type"": ""Point""}";Stephanshornstrasse 3;1
47.40869039417756, 9.333053187981056;"{""coordinates"": [9.333053187981056, 47.40869039417756], ""type"": ""Point""}";Straubenzellstrasse 20;1
47.44792852657765, 9.39775999675699;"{""coordinates"": [9.39775999675699, 47.44792852657765], ""type"": ""Point""}";Sonnrainweg 10;1
47.409923183203205, 9.344039469694662;"{""coordinates"": [9.344039469694662, 47.409923183203205], ""type"": ""Point""}";Hechtackerstrasse 34;1
47.440619156899395, 9.384490604959868;"{""coordinates"": [9.384490604959868, 47.440619156899395], ""type"": ""Point""}";Schoeckstrasse / Tanneichenweg;1
47.43929868893084, 9.387580549821525;"{""coordinates"": [9.387580549821525, 47.43929868893084], ""type"": ""Point""}";Federerstrasse 15;1
47.41202053805253, 9.354563339361432;"{""coordinates"": [9.354563339361432, 47.41202053805253], ""type"": ""Point""}";Ruhsitzweg 18;1
47.433770465129896, 9.415637739911633;"{""coordinates"": [9.415637739911633, 47.433770465129896], ""type"": ""Point""}";Kublystrasse;1
47.408269153197864, 9.310501309697782;"{""coordinates"": [9.310501309697782, 47.408269153197864], ""type"": ""Point""}";Breitfeldstrasse 13;1
47.406279114714145, 9.313052463231648;"{""coordinates"": [9.313052463231648, 47.406279114714145], ""type"": ""Point""}";Sonnmattstrasse 13;1
47.43287614142388, 9.379700379855535;"{""coordinates"": [9.379700379855535, 47.43287614142388], ""type"": ""Point""}";Goethestrasse 14;1
47.43663222943584, 9.403336087836598;"{""coordinates"": [9.403336087836598, 47.43663222943584], ""type"": ""Point""}";Brauerstrasse 41;1
47.406787927650406, 9.309411454950986;"{""coordinates"": [9.309411454950986, 47.406787927650406], ""type"": ""Point""}";Kräzernstrasse 117;1
47.43624046658265, 9.415921441976158;"{""coordinates"": [9.415921441976158, 47.43624046658265], ""type"": ""Point""}";Obere Reherstrasse 9;1
47.43125347478922, 9.399866896063996;"{""coordinates"": [9.399866896063996, 47.43125347478922], ""type"": ""Point""}";Rappensteinstrasse 23;1
47.42511397959873, 9.358030297927414;"{""coordinates"": [9.358030297927414, 47.42511397959873], ""type"": ""Point""}";Sonnenbergstrasse 37;1
47.411417505755885, 9.362359699559981;"{""coordinates"": [9.362359699559981, 47.411417505755885], ""type"": ""Point""}";Fähnernstrasse 9;1
47.439499400250604, 9.386466532012017;"{""coordinates"": [9.386466532012017, 47.439499400250604], ""type"": ""Point""}";Sonnenhaldenplatz;1
47.41772553471364, 9.361755603934158;"{""coordinates"": [9.361755603934158, 47.41772553471364], ""type"": ""Point""}";Paradiesstrasse 30;1
